,main,main_16_TEXT,clicked
1,"Concerns about known side effects (e.g., headache, fatigue)",,0
2,Concerns about unknown risks,,0
3,"I am pregnant, breastfeeding or planning to become pregnant",,0
4,Concerns about unknown risks,,0
5,"I am pregnant, breastfeeding or planning to become pregnant",Pregnant ,0
6,Concerns about unknown risks,,0
7,"I am pregnant, breastfeeding or planning to become pregnant",,0
8,Concerns about unknown risks,,0
9,Concerns about unknown risks,,0
10,"I am pregnant, breastfeeding or planning to become pregnant",,0
11,"I am pregnant, breastfeeding or planning to become pregnant",,0
12,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
13,Concerns about unknown risks,,0
14,"I am pregnant, breastfeeding or planning to become pregnant",,0
15,"I am pregnant, breastfeeding or planning to become pregnant",,0
16,I've had COVID so I don't think I need a vaccine,,0
17,I don't trust the FDA approval process,,0
18,I work out of state; I plan to receive a vaccine when one is available to me in my state,Moving out of area ,0
19,"I am pregnant, breastfeeding or planning to become pregnant",,0
20,Concerns about unknown risks,,0
21,Concerns about unknown risks,,0
22,Concerns about unknown risks,,0
23,It depends on which vaccine I'm offered,,0
24,Concerns about unknown risks,,0
25,Concerns about unknown risks,,0
26,"I am pregnant, breastfeeding or planning to become pregnant",,0
27,Religious reasons,Religious beliefs,0
28,Multiple reasons,"Concerns with combo of side effects and risks associated with new ""vaccine"" - created very fast for my comfort level.",0
29,Concerns about unknown risks,,0
30,"I am pregnant, breastfeeding or planning to become pregnant",,0
31,Concerns about unknown risks,,0
32,Concerns about unknown risks,,0
33,"I am pregnant, breastfeeding or planning to become pregnant",,0
34,Concerns about unknown risks,,0
35,I've had COVID so I don't think I need a vaccine,,0
36,I don't trust the FDA approval process,I don’t feel there is enough research ,0
37,"Concerns about known side effects (e.g., headache, fatigue)",,0
38,Other,n/a,0
39,Concerns about unknown risks,,0
40,"Concerns about the vaccine's ingredients (e.g., mRNA)",,0
41,I've had COVID so I don't think I need a vaccine,Have had covid,0
42,Privacy concerns about Geisinger or state government tracking,,0
43,Concerns about unknown risks,,0
44,Concerns about unknown risks,,0
45,I've had COVID so I don't think I need a vaccine,,0
46,Concerns about unknown risks,there has not been enough time or research to know if there will be long term effects from receiving the vaccine and how effective it will even be long term. I already have problems with my liver and do want anything injected into my body that no one knows if it could effect my liver further no or years down the road,0
47,"Concerns about known side effects (e.g., headache, fatigue)",,0
48,Concerns about unknown risks,,0
49,Concerns about unknown risks,,0
50,Concerns about unknown risks,,0
51,Concerns about unknown risks,,0
52,Other,Personal prefernce,0
53,Concerns about unknown risks,,0
54,"I am pregnant, breastfeeding or planning to become pregnant",,0
55,Concerns about unknown risks,,0
